16 100
1 3 10
1 4 10
0 0 0
1 5 11
0 2 0
1 9 9
1 2 14
0 2 0
1 1 9
1 4 14
0 2 0
0 7 0
0 15 0
1 1 13
1 11 11
0 0 0
1 11 14
1 13 13
0 14 0
1 3 10
0 14 0
0 11 0
0 5 0
0 10 0
1 1 3
0 15 0
0 1 0
1 8 12
1 7 7
0 3 0
1 2 3
1 0 11
0 5 0
0 14 0
0 10 0
0 3 0
1 9 11
1 15 15
1 9 13
0 6 0
0 7 0
0 14 0
1 4 15
0 3 0
1 6 14
1 3 14
1 5 9
0 4 0
0 8 0
0 5 0
1 4 10
1 3 14
0 14 0
0 15 0
1 3 10
1 4 14
0 14 0
1 4 15
0 6 0
1 0 11
0 14 0
0 15 0
1 3 6
0 10 0
0 12 0
1 2 6
1 1 11
0 7 0
1 11 15
1 0 10
0 5 0
0 12 0
0 15 0
0 5 0
1 1 5
1 1 3
1 0 12
0 8 0
0 0 0
1 3 6
0 9 0
1 0 4
1 3 14
1 6 15
0 5 0
1 1 9
0 6 0
1 4 12
0 8 0
1 2 14
1 2 8
1 7 10
0 9 0
1 3 15
1 0 6
1 5 7
0 7 0
0 9 0
1 6 9
1 0 7
